2017-03-16 11:57: [[0.0, 13.8, 34.2, 7.4, 11.4, 14.9, 5.1, 2.5, 3.6, 7.3], [33.070908, 28.18452, 55.10703, 46.546128, 32.340249, 29.398048, 44.398166, 30.64971, 28.683902, 28.937896999999996], [2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: False
2017-03-16 11:57: [[4.9], [34.1712], [2685]]
2017-03-16 11:57: [[26.2], [34.1712], [2685]]
2017-03-16 11:57: [[2.6], [41.221278], [2685]]
2017-03-16 11:57: [[0.0, 13.8, 34.2, 7.4, 11.4, 14.9, 5.1, 2.5, 3.6, 7.3, 3.7], [33.070908, 28.18452, 55.10703, 46.546128, 32.340249, 29.398048, 44.398166, 30.64971, 28.683902, 28.937896999999996, 41.221278], [2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: False
2017-03-16 11:57: [[13.9], [41.221278], [2685]]
2017-03-16 11:57: [[1.2], [41.507292], [2685]]
2017-03-16 11:57: [[18.8], [41.507292], [2685]]
2017-03-16 11:57: [[0.0, 13.8, 34.2, 7.4, 11.4, 14.9, 5.1, 2.5, 3.6, 7.3, 3.7, 2.5], [33.070908, 28.18452, 55.10703, 46.546128, 32.340249, 29.398048, 44.398166, 30.64971, 28.683902, 28.937896999999996, 41.221278, 40.092855], [2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: False
2017-03-16 11:57: [[0.0, 13.8, 34.2, 7.4, 11.4, 14.9, 5.1, 2.5, 3.6, 7.3, 3.7, 2.5, 1.2], [33.070908, 28.18452, 55.10703, 46.546128, 32.340249, 29.398048, 44.398166, 30.64971, 28.683902, 28.937896999999996, 41.221278, 40.092855, 32.271], [2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: False
2017-03-16 11:57: [[0.0, 13.8, 34.2, 7.4, 11.4, 14.9, 5.1, 2.5, 3.6, 7.3, 3.7, 2.5, 1.2, 3.7], [33.070908, 28.18452, 55.10703, 46.546128, 32.340249, 29.398048, 44.398166, 30.64971, 28.683902, 28.937896999999996, 41.221278, 40.092855, 32.271, 29.68875], [2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: False
2017-03-16 11:57: [[0.0, 13.8, 34.2, 7.4, 11.4, 14.9, 5.1, 2.5, 3.6, 7.3, 3.7, 2.5, 1.2, 3.7, 0.0], [33.070908, 28.18452, 55.10703, 46.546128, 32.340249, 29.398048, 44.398166, 30.64971, 28.683902, 28.937896999999996, 41.221278, 40.092855, 32.271, 29.68875, 26.771472000000003], [2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: False
2017-03-16 11:57: [[0.0, 13.8, 34.2, 7.4, 11.4, 14.9, 5.1, 2.5, 3.6, 7.3, 3.7, 2.5, 1.2, 3.7, 0.0, 1.2], [33.070908, 28.18452, 55.10703, 46.546128, 32.340249, 29.398048, 44.398166, 30.64971, 28.683902, 28.937896999999996, 41.221278, 40.092855, 32.271, 29.68875, 26.771472000000003, 26.798499], [2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: False
